File Created on  2/15, at 13:50:51:340
#Frame RunTime Hour Min Sec mSec AudTimeStmp
345 3.442000 13 51  3 686 0
346 3.451000 13 51  3 695 0
347 3.461000 13 51  3 705 0
348 3.471000 13 51  3 715 0
349 3.481000 13 51  3 725 0
350 3.491000 13 51  3 735 0
351 3.501000 13 51  3 745 0
352 3.511000 13 51  3 755 0
353 3.521000 13 51  3 765 0
354 3.531000 13 51  3 775 0
355 3.541000 13 51  3 786 0
356 3.551000 13 51  3 795 0
357 3.561000 13 51  3 805 0
358 3.571000 13 51  3 815 0
359 3.581000 13 51  3 825 0
360 3.591000 13 51  3 835 0
361 3.601000 13 51  3 845 0
362 3.611000 13 51  3 855 0
363 3.621000 13 51  3 865 0
364 3.631000 13 51  3 875 0
365 3.641000 13 51  3 885 0
366 3.651000 13 51  3 895 0
367 3.661000 13 51  3 905 0
368 3.671000 13 51  3 915 0
369 3.681000 13 51  3 925 0
370 3.691000 13 51  3 935 0
371 3.701000 13 51  3 945 0
372 3.711000 13 51  3 955 0
373 3.721000 13 51  3 965 0
374 3.731000 13 51  3 975 0
375 3.741000 13 51  3 985 0
376 3.751000 13 51  3 995 0
377 3.761000 13 51  4   5 0
378 3.771000 13 51  4  15 0
379 3.781000 13 51  4  25 0
380 3.791000 13 51  4  35 0
381 3.801000 13 51  4  45 0
382 3.811000 13 51  4  55 0
383 3.821000 13 51  4  65 0
384 3.832000 13 51  4  76 0
385 3.841000 13 51  4  85 0
386 3.851000 13 51  4  95 0
387 3.862000 13 51  4 105 0
388 3.871000 13 51  4 115 0
389 3.881000 13 51  4 125 0
390 3.891000 13 51  4 135 0
391 3.901000 13 51  4 145 0
392 3.911000 13 51  4 155 0
393 3.921000 13 51  4 165 0
394 3.931000 13 51  4 175 0
395 3.941000 13 51  4 185 0
396 3.951000 13 51  4 195 0
397 3.961000 13 51  4 205 0
398 3.971000 13 51  4 215 0
399 3.981000 13 51  4 225 0
400 3.991000 13 51  4 235 0
401 4.001000 13 51  4 245 0
402 4.011000 13 51  4 255 0
403 4.021000 13 51  4 265 0
404 4.031000 13 51  4 275 0
405 4.041000 13 51  4 285 0
406 4.051000 13 51  4 295 0
407 4.061000 13 51  4 305 0
408 4.071000 13 51  4 315 0
409 4.081000 13 51  4 325 0
410 4.091000 13 51  4 335 0
411 4.101000 13 51  4 345 0
412 4.111000 13 51  4 355 0
413 4.121000 13 51  4 365 0
414 4.131000 13 51  4 375 0
415 4.141000 13 51  4 385 0
416 4.151000 13 51  4 395 0
417 4.161000 13 51  4 405 0
418 4.171000 13 51  4 415 0
419 4.181000 13 51  4 425 0
420 4.191000 13 51  4 435 0
421 4.201000 13 51  4 445 0
422 4.229000 13 51  4 472 0
423 4.239000 13 51  4 482 0
424 4.239000 13 51  4 482 0
425 4.241000 13 51  4 485 0
426 4.262000 13 51  4 506 0
427 4.273000 13 51  4 517 0
428 4.273000 13 51  4 517 0
429 4.296000 13 51  4 540 0
430 4.306000 13 51  4 550 0
431 4.306000 13 51  4 550 0
432 4.329000 13 51  4 573 0
433 4.339000 13 51  4 583 0
434 4.339000 13 51  4 583 0
435 4.341000 13 51  4 585 0
436 4.362000 13 51  4 606 0
437 4.374000 13 51  4 618 0
438 4.374000 13 51  4 618 0
439 4.396000 13 51  4 640 0
440 4.405000 13 51  4 649 0
441 4.405000 13 51  4 649 0
442 4.428000 13 51  4 672 0
443 4.437000 13 51  4 681 0
444 4.437000 13 51  4 681 0
445 4.441000 13 51  4 685 0
446 4.463000 13 51  4 707 0
447 4.474000 13 51  4 718 0
448 4.474000 13 51  4 718 0
449 4.496000 13 51  4 740 0
450 4.507000 13 51  4 751 0
451 4.507000 13 51  4 751 0
452 4.528000 13 51  4 772 0
453 4.539000 13 51  4 783 0
454 4.539000 13 51  4 783 0
455 4.541000 13 51  4 785 0
456 4.563000 13 51  4 808 0
457 4.574000 13 51  4 819 0
458 4.575000 13 51  4 819 0
459 4.596000 13 51  4 840 0
460 4.606000 13 51  4 850 0
461 4.606000 13 51  4 850 0
462 4.629000 13 51  4 873 0
463 4.641000 13 51  4 885 0
464 4.641000 13 51  4 885 0
465 4.641000 13 51  4 885 0
466 4.662000 13 51  4 906 0
467 4.672000 13 51  4 917 0
468 4.672000 13 51  4 917 0
469 4.695000 13 51  4 939 0
470 4.706000 13 51  4 950 0
471 4.712000 13 51  4 955 0
472 4.729000 13 51  4 973 0
473 4.740000 13 51  4 984 0
474 4.741000 13 51  4 985 0
475 4.752000 13 51  4 995 0
476 4.762000 13 51  5   6 0
477 4.773000 13 51  5  18 0
478 4.781000 13 51  5  25 0
479 4.796000 13 51  5  40 0
480 4.804000 13 51  5  48 0
481 4.811000 13 51  5  55 0
482 4.829000 13 51  5  73 0
483 4.839000 13 51  5  83 0
484 4.841000 13 51  5  85 0
485 4.851000 13 51  5  95 0
486 4.862000 13 51  5 106 0
487 4.874000 13 51  5 118 0
488 4.881000 13 51  5 125 0
489 4.896000 13 51  5 140 0
490 4.908000 13 51  5 152 0
491 4.911000 13 51  5 155 0
492 4.929000 13 51  5 173 0
493 4.940000 13 51  5 184 0
494 4.941000 13 51  5 185 0
495 4.951000 13 51  5 195 0
496 4.962000 13 51  5 206 0
497 4.974000 13 51  5 218 0
498 4.981000 13 51  5 225 0
499 4.996000 13 51  5 240 0
500 5.007000 13 51  5 251 0
501 5.011000 13 51  5 255 0
502 5.029000 13 51  5 273 0
503 5.040000 13 51  5 284 0
504 5.041000 13 51  5 285 0
505 5.051000 13 51  5 295 0
506 5.063000 13 51  5 307 0
507 5.074000 13 51  5 318 0
508 5.081000 13 51  5 325 0
509 5.096000 13 51  5 340 0
510 5.107000 13 51  5 351 0
511 5.111000 13 51  5 355 0
512 5.128000 13 51  5 372 0
513 5.140000 13 51  5 384 0
514 5.141000 13 51  5 386 0
515 5.151000 13 51  5 395 0
516 5.163000 13 51  5 408 0
517 5.172000 13 51  5 417 0
518 5.181000 13 51  5 425 0
519 5.196000 13 51  5 440 0
520 5.205000 13 51  5 450 0
521 5.211000 13 51  5 455 0
